order_id	order_date	user_id	avg_item_price	start_page_url	error_msg
54374	2015-05-01	123	7.5	http://www.insacart.com/favorites	
54356	2015-05-01	124	32.325	http://www.insacart.com/favorites	
54234	2015-05-01	123	27.8	http://www.insacart.com/favorites	
54375	2015-05-01	134	20.15	http://www.insacart.com/	
54376	2015-05-01	126	9.375	http://www.insacart.com/	
12094	2015-05-01	123	9.63333333333	http://www.insacart.com	Invalid item price 3;
54324		129	8.4625	http://www.insacart.com/	Invalid date;
54374	2015-05-01	125	36.4225	http://www.insacart.com/	
54564	2015-05-01	126	12.4	http://www.insacart.com/	
54884	2015-05-03	127	7.7475	http://www.insacart.com/favorites	
44374	2015-05-01	128	16.15	http://www.insacart.com/favorites	
34374	2015-05-01	129	0.0		Invalid URL
54004	2015-05-03	129	27.2		Invalid URL
54974	2015-05-03	120	7.675		Invalid URL
54374	2015-05-01	345	2.0	http://www.insacart.com/cart	
52374	2015-04-01	5678	10.4175		Invalid URL
4374	2015-05-01	123	10.88	http://www.insacart.com/favorites	Invalid item price 3;Invalid item price 4;
		423	10.4475	http://www.insacart.com/favorites	Invalid order id;Invalid date;
54374		424	5.4375	http://www.insacart.com/search	Invalid date;
549374	2015-05-01	325	22.5	http://www.insacart.com/favorites	
54334	2015-05-01	428	20.0	http://www.insacart.com/search	
50374	2015-05-01	429	250.0	http://www.insacart.com/	
